Hazard Type,Date & Time,District,Latitude,Longitude,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9,Source,Magnitude,Depth (km),Intensity,Seismic Wave Data,Aftershocks,Casualties & Injuries,Infrastructure Damage,Response & Recovery Measures
GLOF,2019-05-07 03:39:29,Gilgit,35.7551,76.5094,GlacierLake-41,2215766.6,222041.9,Heavy Rainfall,8347.0,42.5,Infrastructure Damage: 93,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2022-07-01 07:27:16,Gilgit,36.5488,74.0846,GlacierLake-16,2616445.3,3819495.2,Heavy Rainfall,12148.3,16.4,Infrastructure Damage: 98,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2017-01-11 11:48:44,Gilgit,36.3808,74.7154,GlacierLake-11,4256442.4,3925151.2,Heavy Rainfall,9685.2,36.2,Infrastructure Damage: 22,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2021-04-21 06:26:29,Gilgit,36.6931,76.8713,GlacierLake-44,3383280.1,3262070.5,Heavy Rainfall,12144.2,15.6,Infrastructure Damage: 58,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2015-11-14 08:59:43,Gilgit,35.2438,75.0293,GlacierLake-39,3147392.0,1011697.2,High Temperature,3574.0,94.0,Infrastructure Damage: 48,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2022-01-13 00:30:43,Gilgit,35.8312,76.6781,GlacierLake-29,2266773.0,3348219.9,High Temperature,12915.9,44.1,Infrastructure Damage: 78,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2016-12-18 13:00:28,Gilgit,35.3365,74.1519,GlacierLake-28,2027485.1,2080827.8,High Temperature,10789.2,67.9,Infrastructure Damage: 71,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2022-10-18 14:33:05,Gilgit,35.6105,75.7806,GlacierLake-31,2891718.4,722900.9,High Temperature,15918.3,6.1,Infrastructure Damage: 11,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2013-03-12 01:26:48,Astore,36.9112,76.6908,GlacierLake-26,4559994.6,3630114.2,High Temperature,7528.5,94.3,Infrastructure Damage: 24,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2014-07-13 19:02:06,Astore,35.2258,76.7981,GlacierLake-24,844493.1,1296670.9,Landslide,17399.6,38.5,Infrastructure Damage: 59,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2022-08-12 21:54:19,Astore,35.7142,75.7103,GlacierLake-2,2338548.6,2331618.3,Landslide,18880.8,28.7,Infrastructure Damage: 16,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2015-07-24 06:29:23,Astore,36.9505,75.612,GlacierLake-25,4862549.1,3763918.1,High Temperature,5412.3,69.5,Infrastructure Damage: 39,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2017-12-05 02:04:54,Astore,35.1237,76.0775,GlacierLake-41,869047.8,635724.2,Heavy Rainfall,2649.0,28.4,Infrastructure Damage: 95,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2022-06-27 14:47:54,Astore,35.8498,75.7712,GlacierLake-35,4471302.2,2153573.7,Heavy Rainfall,15195.7,27.9,Infrastructure Damage: 26,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2016-08-24 06:47:09,Astore,36.7579,74.7197,GlacierLake-15,4204527.1,3587894.9,Landslide,9890.8,76.5,Infrastructure Damage: 42,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2019-10-21 12:54:10,Astore,36.4688,74.8053,GlacierLake-38,2969752.1,1812858.5,Landslide,1410.0,12.9,Infrastructure Damage: 64,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2019-02-12 11:31:13,Astore,35.5527,75.5523,GlacierLake-28,3968145.4,2258058.1,Landslide,5134.9,18.2,Infrastructure Damage: 30,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2017-10-24 21:22:51,Hunza,36.2866,74.9559,GlacierLake-10,3474853.7,185348.7,Heavy Rainfall,14024.3,26.0,Infrastructure Damage: 90,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2017-06-16 06:55:07,Hunza,36.2835,75.9185,GlacierLake-9,3734351.1,1507438.9,Heavy Rainfall,7400.5,81.0,Infrastructure Damage: 52,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2021-12-13 10:52:39,Hunza,36.6488,75.8736,GlacierLake-20,4101826.3,1002097.2,Landslide,16367.5,7.3,Infrastructure Damage: 98,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2015-09-06 06:20:04,Hunza,35.1346,75.7678,GlacierLake-1,4470366.1,2230102.6,Landslide,7452.0,53.3,Infrastructure Damage: 41,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2020-09-05 10:46:16,Hunza,36.334,75.41,GlacierLake-12,1712696.5,1666072.2,Landslide,17872.8,7.1,Infrastructure Damage: 32,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2013-01-03 13:04:49,Hunza,36.4234,76.4888,GlacierLake-20,1723338.6,3754484.1,Landslide,15196.7,33.6,Infrastructure Damage: 69,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2014-05-06 05:38:09,Hunza,35.244,76.9212,GlacierLake-22,2071819.8,2328566.6,Landslide,7257.5,6.7,Infrastructure Damage: 89,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2022-09-18 12:28:20,Hunza,36.0328,75.6178,GlacierLake-42,2613379.3,329979.8,High Temperature,4329.6,10.7,Infrastructure Damage: 34,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2015-11-09 14:48:00,Ghanche,36.9691,74.9702,GlacierLake-10,4770198.4,2090326.4,Heavy Rainfall,17328.3,83.0,Infrastructure Damage: 67,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2018-06-12 13:43:45,Ghanche,36.7006,75.8478,GlacierLake-29,4297966.5,3228340.0,Landslide,16700.5,62.1,Infrastructure Damage: 79,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2020-12-24 08:14:56,Ghanche,35.933,76.2338,GlacierLake-46,3229055.3,3202904.4,Heavy Rainfall,13355.9,56.8,Infrastructure Damage: 81,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2022-09-20 08:01:06,Ghanche,35.1808,75.6079,GlacierLake-21,3571963.8,2783816.5,Heavy Rainfall,12674.6,88.4,Infrastructure Damage: 88,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2015-12-30 19:45:54,Ghanche,35.9586,76.1427,GlacierLake-41,356249.6,2626067.9,High Temperature,17470.7,31.6,Infrastructure Damage: 85,Early Warning,Climate Research Center Report,,,,,,,,,
GLOF,2013-02-17 15:53:22,Ghanche,36.2578,75.8202,GlacierLake-33,1011234.2,2991872.0,Landslide,3048.7,50.2,Infrastructure Damage: 21,Early Warning,Climate Research Center Report,,,,,,,,,
Landslide,2021-07-06 10:12:35,Gilgit,35.1862,76.5673,Rockfall,Earthquake,51.6,Valley,Rocky,171.1,2262.1,6.67,Geological Survey Report,,,,,,,,,
Landslide,2013-01-20 15:57:13,Gilgit,36.9318,74.8797,Debris Flow,Earthquake,52.8,Hilly,Clay,150.9,2367.0,2.55,Geological Survey Report,,,,,,,,,
Landslide,2014-11-17 02:40:58,Gilgit,36.649,76.767,Debris Flow,Earthquake,43.3,Hilly,Clay,114.8,4964.2,2.1,Geological Survey Report,,,,,,,,,
Landslide,2015-09-03 15:12:54,Gilgit,36.58,74.2766,Mudslide,Glacier Melting,64.4,Mountainous,Sand,97.9,2924.0,7.21,Geological Survey Report,,,,,,,,,
Landslide,2016-06-01 13:17:39,Gilgit,35.9822,74.2975,Rockfall,Glacier Melting,29.1,Valley,Silt,43.8,4636.6,2.62,Geological Survey Report,,,,,,,,,
Landslide,2017-04-23 17:19:52,Gilgit,35.4172,75.8335,Debris Flow,Glacier Melting,26.1,Hilly,Sand,34.7,1104.1,1.63,Geological Survey Report,,,,,,,,,
Landslide,2014-06-30 06:55:08,Gilgit,36.2733,76.0444,Mudslide,Heavy Rainfall,64.3,Hilly,Sand,71.6,1751.2,8.18,Geological Survey Report,,,,,,,,,
Landslide,2014-03-15 01:14:10,Gilgit,35.6679,74.1167,Mudslide,Glacier Melting,61.7,Mountainous,Clay,171.0,1129.5,0.79,Geological Survey Report,,,,,,,,,
Landslide,2020-11-20 16:08:11,Gilgit,35.9042,74.6092,Rockfall,Heavy Rainfall,41.8,Hilly,Clay,147.1,4895.9,5.76,Geological Survey Report,,,,,,,,,
Landslide,2016-05-15 07:55:31,Gilgit,36.073,74.0708,Mudslide,Heavy Rainfall,22.2,Hilly,Rocky,162.2,3349.4,6.11,Geological Survey Report,,,,,,,,,
Landslide,2019-02-07 04:22:16,Gilgit,35.5011,76.7679,Mudslide,Earthquake,42.9,Hilly,Clay,41.2,2431.0,4.06,Geological Survey Report,,,,,,,,,
Landslide,2017-02-10 14:56:37,Gilgit,36.0759,75.8571,Debris Flow,Glacier Melting,69.5,Valley,Rocky,26.6,2172.8,2.49,Geological Survey Report,,,,,,,,,
Landslide,2020-06-21 09:57:48,Gilgit,35.1619,74.6783,Debris Flow,Earthquake,76.4,Hilly,Sand,10.7,2433.4,7.58,Geological Survey Report,,,,,,,,,
Landslide,2020-12-08 08:49:06,Gilgit,36.7387,74.1571,Rockfall,Heavy Rainfall,56.4,Mountainous,Sand,28.1,1015.1,6.27,Geological Survey Report,,,,,,,,,
Landslide,2022-04-01 08:52:23,Gilgit,36.5559,74.3764,Rockfall,Heavy Rainfall,49.9,Valley,Sand,56.4,2868.2,0.83,Geological Survey Report,,,,,,,,,
Landslide,2015-06-26 05:09:36,Gilgit,35.8407,74.6439,Mudslide,Heavy Rainfall,72.6,Hilly,Sand,110.0,1817.2,5.16,Geological Survey Report,,,,,,,,,
Landslide,2014-12-16 09:47:00,Gilgit,35.2658,75.0393,Rockfall,Heavy Rainfall,43.4,Mountainous,Sand,155.1,3976.7,8.67,Geological Survey Report,,,,,,,,,
Landslide,2020-04-28 18:21:53,Gilgit,36.7655,75.7396,Debris Flow,Glacier Melting,54.6,Hilly,Clay,50.8,2530.0,5.52,Geological Survey Report,,,,,,,,,
Landslide,2019-03-29 02:42:21,Gilgit,36.7415,76.1949,Debris Flow,Heavy Rainfall,32.9,Hilly,Rocky,123.9,2218.2,5.01,Geological Survey Report,,,,,,,,,
Landslide,2017-07-23 19:00:59,Gilgit,35.1521,74.2777,Mudslide,Heavy Rainfall,61.7,Hilly,Clay,107.3,2886.4,5.01,Geological Survey Report,,,,,,,,,
Landslide,2018-01-03 18:04:28,Gilgit,36.9267,75.9897,Rockfall,Heavy Rainfall,52.8,Hilly,Clay,77.1,1563.3,9.5,Geological Survey Report,,,,,,,,,
Landslide,2017-11-18 05:02:26,Gilgit,35.9406,75.7883,Mudslide,Earthquake,34.5,Hilly,Sand,90.3,2604.2,7.83,Geological Survey Report,,,,,,,,,
Landslide,2022-02-05 02:23:51,Gilgit,35.5058,76.9091,Debris Flow,Earthquake,38.2,Hilly,Rocky,51.8,2708.5,1.62,Geological Survey Report,,,,,,,,,
Landslide,2013-08-10 23:04:16,Gilgit,36.7085,74.5722,Debris Flow,Earthquake,46.7,Valley,Sand,193.6,1849.8,7.35,Geological Survey Report,,,,,,,,,
Landslide,2020-09-04 17:27:54,Gilgit,35.2962,75.9163,Mudslide,Earthquake,27.2,Valley,Rocky,190.1,2132.8,9.96,Geological Survey Report,,,,,,,,,
Landslide,2021-02-24 12:47:01,Gilgit,36.3555,74.9956,Mudslide,Earthquake,79.5,Hilly,Silt,124.4,304.9,5.49,Geological Survey Report,,,,,,,,,
Landslide,2022-01-16 06:12:11,Gilgit,36.1187,76.8618,Debris Flow,Heavy Rainfall,41.4,Mountainous,Clay,26.1,3710.9,6.27,Geological Survey Report,,,,,,,,,
Landslide,2016-04-26 03:20:33,Gilgit,35.6211,76.4593,Mudslide,Heavy Rainfall,51.3,Mountainous,Rocky,98.1,2560.5,6.1,Geological Survey Report,,,,,,,,,
Landslide,2016-06-29 00:24:07,Gilgit,35.8864,76.9598,Rockfall,Earthquake,47.5,Hilly,Rocky,91.5,2765.8,7.95,Geological Survey Report,,,,,,,,,
Landslide,2017-02-16 23:08:04,Gilgit,36.2592,76.8268,Mudslide,Earthquake,48.5,Hilly,Clay,48.3,1322.6,4.0,Geological Survey Report,,,,,,,,,
Landslide,2022-12-14 01:08:46,Gilgit,36.9216,76.1781,Rockfall,Glacier Melting,59.5,Mountainous,Silt,26.9,3166.6,5.85,Geological Survey Report,,,,,,,,,
Landslide,2016-11-03 02:17:46,Gilgit,35.7847,75.4985,Mudslide,Glacier Melting,50.5,Mountainous,Silt,138.6,665.1,5.21,Geological Survey Report,,,,,,,,,
Landslide,2017-05-02 09:40:37,Gilgit,36.9854,76.2132,Debris Flow,Earthquake,20.8,Valley,Clay,82.9,2128.5,0.51,Geological Survey Report,,,,,,,,,
Landslide,2022-03-16 10:09:40,Gilgit,35.7975,74.6165,Debris Flow,Earthquake,51.0,Valley,Rocky,26.0,752.9,0.66,Geological Survey Report,,,,,,,,,
Landslide,2017-10-25 07:52:06,Gilgit,36.2003,74.3123,Debris Flow,Heavy Rainfall,55.7,Hilly,Rocky,78.2,4450.0,7.28,Geological Survey Report,,,,,,,,,
Landslide,2015-01-29 18:53:10,Gilgit,35.3764,74.3922,Rockfall,Heavy Rainfall,73.0,Hilly,Rocky,190.7,4446.1,2.49,Geological Survey Report,,,,,,,,,
